fill	x	y	clickSelects	group	xmin	xmax	ymin	ymax
#8B8B8B	0	0	0 0	1	-0.5	0.5	-0.5	0.5
#B1B1B1	1	0	1 0	2	0.5	1.5	-0.5	0.5
#DEDEDE	3	3	3 3	230	2.5	3.5	2.5	3.5
#E7E7E7	4	3	4 3	343	3.5	4.5	2.5	3.5
#CACACA	4	4	4 4	344	3.5	4.5	3.5	4.5
#EFEFEF	5	4	5 4	459	4.5	5.5	3.5	4.5
#FAFAFA	5	5	5 5	460	4.5	5.5	4.5	5.5
#FBFBFB	6	6	6 6	577	5.5	6.5	5.5	6.5
#FCFCFC	7	6	7 6	693	6.5	7.5	5.5	6.5
#FCFCFC	7	7	7 7	694	6.5	7.5	6.5	7.5
#FCFCFC	8	7	8 7	802	7.5	8.5	6.5	7.5
#FDFDFD	8	8	8 8	803	7.5	8.5	7.5	8.5
#F7F7F7	1	1	1 1	3	0.5	1.5	0.5	1.5
#F7F7F7	2	1	2 1	115	1.5	2.5	0.5	1.5
#FBFBFB	2	2	2 2	116	1.5	2.5	1.5	2.5
#F7F7F7	3	2	3 2	229	2.5	3.5	1.5	2.5
#FDFDFD	6	5	6 5	576	5.5	6.5	4.5	5.5
#A5A5A5	2	0	2 0	114	1.5	2.5	-0.5	0.5
#F8F8F8	3	1	3 1	228	2.5	3.5	0.5	1.5
#F2F2F2	4	2	4 2	342	3.5	4.5	1.5	2.5
#E9E9E9	5	3	5 3	458	4.5	5.5	2.5	3.5
#FCFCFC	6	4	6 4	575	5.5	6.5	3.5	4.5
#FCFCFC	9	8	9 8	833	8.5	9.5	7.5	8.5
#FCFCFC	9	7	9 7	832	8.5	9.5	6.5	7.5
#A9A9A9	3	0	3 0	227	2.5	3.5	-0.5	0.5
#F0F0F0	4	1	4 1	341	3.5	4.5	0.5	1.5
#FBFBFB	7	4	7 4	691	6.5	7.5	3.5	4.5
#FDFDFD	10	7	10 7	12	9.5	10.5	6.5	7.5
#F5F5F5	5	2	5 2	457	4.5	5.5	1.5	2.5
#A9A9A9	6	3	6 3	574	5.5	6.5	2.5	3.5
#9F9F9F	4	0	4 0	340	3.5	4.5	-0.5	0.5
#E2E2E2	5	1	5 1	456	4.5	5.5	0.5	1.5
#9D9D9D	6	2	6 2	573	5.5	6.5	1.5	2.5
#FBFBFB	7	3	7 3	690	6.5	7.5	2.5	3.5
#A1A1A1	5	0	5 0	455	4.5	5.5	-0.5	0.5
#FAFAFA	8	3	8 3	798	7.5	8.5	2.5	3.5
#D6D6D6	6	1	6 1	572	5.5	6.5	0.5	1.5
#B6B6B6	7	2	7 2	689	6.5	7.5	1.5	2.5
#4A4A4A	6	0	6 0	571	5.5	6.5	-0.5	0.5
#8D8D8D	7	1	7 1	688	6.5	7.5	0.5	1.5
#F3F3F3	8	2	8 2	797	7.5	8.5	1.5	2.5
#F8F8F8	9	3	9 3	828	8.5	9.5	2.5	3.5
#FCFCFC	9	4	9 4	829	8.5	9.5	3.5	4.5
#E9E9E9	9	2	9 2	827	8.5	9.5	1.5	2.5
#171717	7	0	7 0	687	6.5	7.5	-0.5	0.5
#DBDBDB	8	1	8 1	796	7.5	8.5	0.5	1.5
#FCFCFC	10	3	10 3	8	9.5	10.5	2.5	3.5
#FDFDFD	10	4	10 4	9	9.5	10.5	3.5	4.5
#FEFEFE	11	5	11 5	21	10.5	11.5	4.5	5.5
#FCFCFC	11	4	11 4	20	10.5	11.5	3.5	4.5
#4D4D4D	8	0	8 0	795	7.5	8.5	-0.5	0.5
#ECECEC	10	2	10 2	7	9.5	10.5	1.5	2.5
#F9F9F9	11	3	11 3	19	10.5	11.5	2.5	3.5
#B0B0B0	9	1	9 1	826	8.5	9.5	0.5	1.5
#FAFAFA	12	4	12 4	31	11.5	12.5	3.5	4.5
#EEEEEE	10	1	10 1	5	9.5	10.5	0.5	1.5
#F6F6F6	11	2	11 2	18	10.5	11.5	1.5	2.5
#606060	9	0	9 0	825	8.5	9.5	-0.5	0.5
#EEEEEE	13	4	13 4	42	12.5	13.5	3.5	4.5
#FEFEFE	19	10	19 10	105	18.5	19.5	9.5	10.5
#FAFAFA	12	3	12 3	30	11.5	12.5	2.5	3.5
#808080	10	0	10 0	4	9.5	10.5	-0.5	0.5
#EEEEEE	11	1	11 1	16	10.5	11.5	0.5	1.5
#FAFAFA	12	2	12 2	29	11.5	12.5	1.5	2.5
#F8F8F8	13	3	13 3	41	12.5	13.5	2.5	3.5
#F7F7F7	14	4	14 4	53	13.5	14.5	3.5	4.5
#F5F5F5	20	10	20 10	119	19.5	20.5	9.5	10.5
#898989	11	0	11 0	15	10.5	11.5	-0.5	0.5
