fill	x	y	clickSelects	group	xmin	xmax	ymin	ymax
#FFFFFF	55	10	55 10	518	54.5	55.5	9.5	10.5
#FEFEFE	51	5	51 5	478	50.5	51.5	4.5	5.5
#FFFFFF	56	10	56 10	529	55.5	56.5	9.5	10.5
#FFFFFF	51	6	51 6	479	50.5	51.5	5.5	6.5
#FFFFFF	52	6	52 6	490	51.5	52.5	5.5	6.5
#FFFFFF	54	8	54 8	514	53.5	54.5	7.5	8.5
#FFFFFF	55	9	55 9	526	54.5	55.5	8.5	9.5
#BABABA	47	0	47 0	422	46.5	47.5	-0.5	0.5
#EAEAEA	48	1	48 1	434	47.5	48.5	0.5	1.5
#F5F5F5	49	2	49 2	447	48.5	49.5	1.5	2.5
#F2F2F2	50	3	50 3	465	49.5	50.5	2.5	3.5
#F3F3F3	51	4	51 4	477	50.5	51.5	3.5	4.5
#FFFFFF	53	6	53 6	501	52.5	53.5	5.5	6.5
#FFFFFF	54	7	54 7	513	53.5	54.5	6.5	7.5
#FFFFFF	56	9	56 9	537	55.5	56.5	8.5	9.5
#FFFFFF	52	5	52 5	489	51.5	52.5	4.5	5.5
#FFFFFF	55	8	55 8	525	54.5	55.5	7.5	8.5
#FFFFFF	57	10	57 10	540	56.5	57.5	9.5	10.5
#C0C0C0	48	0	48 0	433	47.5	48.5	-0.5	0.5
#F0F0F0	49	1	49 1	445	48.5	49.5	0.5	1.5
#F7F7F7	50	2	50 2	464	49.5	50.5	1.5	2.5
#F1F1F1	51	3	51 3	476	50.5	51.5	2.5	3.5
#FFFFFF	53	5	53 5	500	52.5	53.5	4.5	5.5
#FFFFFF	54	6	54 6	512	53.5	54.5	5.5	6.5
#FFFFFF	57	9	57 9	548	56.5	57.5	8.5	9.5
#FEFEFE	52	4	52 4	488	51.5	52.5	3.5	4.5
#FFFFFF	58	10	58 10	551	57.5	58.5	9.5	10.5
#FFFFFF	56	8	56 8	536	55.5	56.5	7.5	8.5
#ACACAC	49	0	49 0	444	48.5	49.5	-0.5	0.5
#F5F5F5	50	1	50 1	462	49.5	50.5	0.5	1.5
#F4F4F4	51	2	51 2	475	50.5	51.5	1.5	2.5
#F3F3F3	52	3	52 3	487	51.5	52.5	2.5	3.5
#FEFEFE	53	4	53 4	499	52.5	53.5	3.5	4.5
#FCFCFC	54	5	54 5	511	53.5	54.5	4.5	5.5
#FDFDFD	57	8	57 8	547	56.5	57.5	7.5	8.5
#FFFFFF	58	9	58 9	559	57.5	58.5	8.5	9.5
#F9F9F9	56	7	56 7	535	55.5	56.5	6.5	7.5
#FFFFFF	59	10	59 10	562	58.5	59.5	9.5	10.5
#FFFFFF	55	7	55 7	524	54.5	55.5	6.5	7.5
#8E8E8E	50	0	50 0	461	49.5	50.5	-0.5	0.5
#E7E7E7	51	1	51 1	473	50.5	51.5	0.5	1.5
#E1E1E1	52	2	52 2	486	51.5	52.5	1.5	2.5
#F9F9F9	53	3	53 3	498	52.5	53.5	2.5	3.5
#FCFCFC	55	5	55 5	522	54.5	55.5	4.5	5.5
#FCFCFC	55	6	55 6	523	54.5	55.5	5.5	6.5
#FCFCFC	56	6	56 6	534	55.5	56.5	5.5	6.5
#F8F8F8	57	7	57 7	546	56.5	57.5	6.5	7.5
#FFFFFF	58	8	58 8	558	57.5	58.5	7.5	8.5
#FFFFFF	59	9	59 9	570	58.5	59.5	8.5	9.5
#FDFDFD	54	4	54 4	510	53.5	54.5	3.5	4.5
#A1A1A1	51	0	51 0	472	50.5	51.5	-0.5	0.5
#B2B2B2	52	1	52 1	484	51.5	52.5	0.5	1.5
#E9E9E9	53	2	53 2	497	52.5	53.5	1.5	2.5
#FDFDFD	54	3	54 3	509	53.5	54.5	2.5	3.5
#FCFCFC	55	4	55 4	521	54.5	55.5	3.5	4.5
#FEFEFE	56	5	56 5	533	55.5	56.5	4.5	5.5
#FEFEFE	57	6	57 6	545	56.5	57.5	5.5	6.5
#FFFFFF	58	7	58 7	557	57.5	58.5	6.5	7.5
#898989	52	0	52 0	483	51.5	52.5	-0.5	0.5
#B2B2B2	53	1	53 1	495	52.5	53.5	0.5	1.5
#F7F7F7	54	2	54 2	508	53.5	54.5	1.5	2.5
#FEFEFE	57	5	57 5	544	56.5	57.5	4.5	5.5
#FDFDFD	56	4	56 4	532	55.5	56.5	3.5	4.5
#FFFFFF	58	6	58 6	556	57.5	58.5	5.5	6.5
#FEFEFE	55	3	55 3	520	54.5	55.5	2.5	3.5
#666666	53	0	53 0	494	52.5	53.5	-0.5	0.5
#C4C4C4	54	1	54 1	506	53.5	54.5	0.5	1.5
#FDFDFD	55	2	55 2	519	54.5	55.5	1.5	2.5
#FBFBFB	56	3	56 3	531	55.5	56.5	2.5	3.5
#FFFFFF	57	4	57 4	543	56.5	57.5	3.5	4.5
#FEFEFE	58	5	58 5	555	57.5	58.5	4.5	5.5
#7C7C7C	54	0	54 0	505	53.5	54.5	-0.5	0.5
#FFFFFF	64	10	64 10	624	63.5	64.5	9.5	10.5
#9A9A9A	55	0	55 0	516	54.5	55.5	-0.5	0.5
#C0C0C0	55	1	55 1	517	54.5	55.5	0.5	1.5
#FFFFFF	65	10	65 10	635	64.5	65.5	9.5	10.5
#B6B6B6	56	1	56 1	528	55.5	56.5	0.5	1.5
#FFFFFF	59	4	59 4	565	58.5	59.5	3.5	4.5
#FFFFFF	59	5	59 5	566	58.5	59.5	4.5	5.5
#909090	56	0	56 0	527	55.5	56.5	-0.5	0.5
#FFFFFF	58	3	58 3	553	57.5	58.5	2.5	3.5
#FFFFFF	60	5	60 5	584	59.5	60.5	4.5	5.5
#FCFCFC	59	3	59 3	564	58.5	59.5	2.5	3.5
#FDFDFD	60	4	60 4	583	59.5	60.5	3.5	4.5
#F7F7F7	57	2	57 2	541	56.5	57.5	1.5	2.5
#EBEBEB	57	1	57 1	539	56.5	57.5	0.5	1.5
#FFFFFF	65	9	65 9	643	64.5	65.5	8.5	9.5
#F5F5F5	58	2	58 2	552	57.5	58.5	1.5	2.5
#FFFFFF	66	10	66 10	646	65.5	66.5	9.5	10.5
#979797	57	0	57 0	538	56.5	57.5	-0.5	0.5
#E4E4E4	58	1	58 1	550	57.5	58.5	0.5	1.5
#FAFAFA	60	3	60 3	582	59.5	60.5	2.5	3.5
#FAFAFA	59	2	59 2	563	58.5	59.5	1.5	2.5
#FEFEFE	61	4	61 4	594	60.5	61.5	3.5	4.5
#FFFFFF	66	9	66 9	653	65.5	66.5	8.5	9.5
#C9C9C9	58	0	58 0	549	57.5	58.5	-0.5	0.5
#EFEFEF	59	1	59 1	561	58.5	59.5	0.5	1.5
#FCFCFC	60	2	60 2	581	59.5	60.5	1.5	2.5
#FEFEFE	61	3	61 3	593	60.5	61.5	2.5	3.5
#BABABA	59	0	59 0	560	58.5	59.5	-0.5	0.5
#FDFDFD	61	2	61 2	592	60.5	61.5	1.5	2.5
#E3E3E3	60	1	60 1	579	59.5	60.5	0.5	1.5
#FDFDFD	62	3	62 3	604	61.5	62.5	2.5	3.5
#909090	60	0	60 0	578	59.5	60.5	-0.5	0.5
#E6E6E6	61	1	61 1	590	60.5	61.5	0.5	1.5
#FDFDFD	62	2	62 2	603	61.5	62.5	1.5	2.5
#7A7A7A	61	0	61 0	589	60.5	61.5	-0.5	0.5
#DADADA	62	1	62 1	601	61.5	62.5	0.5	1.5
#FCFCFC	63	2	63 2	614	62.5	63.5	1.5	2.5
#818181	62	0	62 0	600	61.5	62.5	-0.5	0.5
#E5E5E5	63	1	63 1	612	62.5	63.5	0.5	1.5
#FEFEFE	69	7	69 7	684	68.5	69.5	6.5	7.5
#FFFFFF	69	8	69 8	685	68.5	69.5	7.5	8.5
#FFFFFF	70	8	70 8	704	69.5	70.5	7.5	8.5
#ABABAB	63	0	63 0	611	62.5	63.5	-0.5	0.5
#FEFEFE	70	7	70 7	703	69.5	70.5	6.5	7.5
#E9E9E9	64	1	64 1	623	63.5	64.5	0.5	1.5
#FEFEFE	69	6	69 6	683	68.5	69.5	5.5	6.5
#ADADAD	64	0	64 0	622	63.5	64.5	-0.5	0.5
#FEFEFE	70	6	70 6	702	69.5	70.5	5.5	6.5
#A5A5A5	65	1	65 1	634	64.5	65.5	0.5	1.5
#EEEEEE	65	2	65 2	636	64.5	65.5	1.5	2.5
#F4F4F4	66	3	66 3	648	65.5	66.5	2.5	3.5
#B4B4B4	67	3	67 3	658	66.5	67.5	2.5	3.5
#FDFDFD	67	4	67 4	659	66.5	67.5	3.5	4.5
#DADADA	68	5	68 5	671	67.5	68.5	4.5	5.5
