group	x	y	showSelected2
112751	1.41421356237309	0.000000000000000111022302462516	0 0
112752	2.12132034355964	0.707106781186548	0 0
112753	2.82842712474619	1.4142135623731	0 0
112754	3.53553390593274	2.12132034355964	0 0
112755	4.24264068711928	2.82842712474619	0 0
112756	4.94974746830583	3.53553390593274	0 0
112757	0	4.24264068711929	1 0
112758	3.5355339059327	4.9497474683058	3 3
112759	4.2426406871193	5.6568542494924	3 3
112760	4.9497474683058	6.3639610306789	3 3
112761	5.6568542494924	7.0710678118655	3 3
112762	6.36396103067891	7.778174593052	3 3
112763	0	8.4852813742386	4 3
112764	0.707106781186504	9.1923881554251	4 3
112765	1.4142135623731	0	4 4
112766	2.1213203435596	0.707106781186504	4 4
112767	2.8284271247462	1.4142135623731	4 4
112768	3.5355339059327	2.1213203435596	4 4
112769	4.2426406871193	2.8284271247462	4 4
112770	4.9497474683058	3.5355339059327	4 4
112771	5.65685424949241	4.2426406871193	4 4
112772	6.3639610306789	4.9497474683058	4 4
112773	7.0710678118654	5.65685424949241	4 4
112774	7.778174593052	6.3639610306789	4 4
112775	8.4852813742385	7.0710678118655	4 4
112776	9.1923881554251	7.778174593052	4 4
112777	0	8.4852813742386	5 4
112778	2.8284271247462	1.4142135623731	5 5
112779	3.53553390593279	2.1213203435597	5 5
112780	4.2426406871193	2.8284271247462	5 5
112781	0.707106781186603	1.4142135623731	6 6
112782	1.4142135623731	2.1213203435597	6 6
112783	2.1213203435597	2.82842712474621	6 6
112784	2.8284271247462	3.5355339059327	6 6
112785	3.5355339059328	4.24264068711931	6 6
112786	4.2426406871193	4.9497474683058	6 6
112787	4.9497474683059	5.65685424949241	6 6
112788	5.6568542494924	6.3639610306789	6 6
112789	6.363961030679	7.0710678118655	6 6
112790	0.707106781186496	9.19238815542511	7 6
112791	2.8284271247462	1.41421356237311	7 7
112792	3.5355339059327	2.1213203435596	7 7
112793	4.9497474683058	3.5355339059327	7 7
112794	5.6568542494924	4.24264068711931	7 7
112795	6.36396103067889	4.9497474683058	7 7
112796	7.0710678118654	5.6568542494924	7 7
112797	7.778174593052	6.36396103067889	7 7
112798	8.4852813742385	7.0710678118654	7 7
112799	9.19238815542511	7.778174593052	7 7
112800	9.8994949366116	8.4852813742385	7 7
112801	0	9.19238815542511	8 7
112802	0.707106781186496	9.8994949366116	8 7
112803	1.41421356237311	0	8 8
112804	2.1213203435596	0.707106781186496	8 8
112805	2.8284271247462	1.41421356237311	8 8
112806	3.5355339059327	2.1213203435596	8 8
112807	0.707106781186496	0	10 10
112808	3.5355339059327	2.8284271247462	10 10
112809	4.2426406871195	3.53553390593279	10 10
112810	4.9497474683055	4.24264068711929	10 10
112812	2.82842712474619	0.000000000000000222044604925031	0 0
112813	3.53553390593274	0.707106781186548	0 0
112814	4.24264068711928	1.4142135623731	0 0
112815	4.94974746830583	2.12132034355964	0 0
112816	0	2.82842712474619	1 0
112817	0.707106781186551	3.53553390593274	1 0
112818	1.41421356237309	4.24264068711929	1 0
112819	2.12132034355964	4.94974746830583	1 0
112820	2.82842712474619	0	1 1
112821	2.8284271247462	2.8284271247462	2 2
