group	x	y	showSelected2
2	1.41421356237309	0.000000000000000111022302462516	0 0
3	2.12132034355964	0.707106781186548	0 0
4	2.82842712474619	1.4142135623731	0 0
5	3.53553390593274	2.12132034355964	0 0
6	4.24264068711928	2.82842712474619	0 0
7	4.94974746830583	3.53553390593274	0 0
8	0	4.24264068711929	1 0
9	0.707106781186551	4.94974746830583	1 0
10	1.4142135623731	0	1 1
11	2.12132034355964	0.707106781186551	1 1
12	2.82842712474619	1.4142135623731	1 1
13	3.53553390593274	2.12132034355964	1 1
14	4.24264068711929	2.82842712474619	1 1
15	4.94974746830582	3.53553390593274	1 1
16	5.65685424949242	4.24264068711929	1 1
17	6.36396103067892	4.94974746830582	1 1
18	7.07106781186552	5.65685424949242	1 1
19	7.77817459305202	6.36396103067892	1 1
20	8.48528137423852	7.07106781186552	1 1
21	9.19238815542512	7.77817459305202	1 1
22	0	8.48528137423862	2 1
23	0.707106781186599	9.19238815542512	2 1
24	1.4142135623731	0	2 2
25	2.1213203435597	0.707106781186599	2 2
26	2.8284271247462	1.4142135623731	2 2
27	3.5355339059328	2.1213203435597	2 2
28	4.2426406871193	2.8284271247462	2 2
29	4.9497474683059	3.5355339059328	2 2
30	5.6568542494924	4.2426406871193	2 2
31	6.363961030679	4.9497474683059	2 2
32	7.0710678118655	5.6568542494924	2 2
33	7.7781745930521	6.363961030679	2 2
34	8.4852813742386	7.0710678118655	2 2
35	9.1923881554252	7.7781745930521	2 2
36	0	8.4852813742386	3 2
37	0.707106781186599	9.1923881554252	3 2
38	1.4142135623731	0	3 3
39	2.1213203435596	0.707106781186599	3 3
40	2.8284271247462	1.4142135623731	3 3
41	3.5355339059327	2.1213203435597	3 3
42	4.2426406871193	2.8284271247462	3 3
43	4.9497474683058	3.5355339059328	3 3
44	5.6568542494924	4.2426406871193	3 3
45	6.3639610306789	4.9497474683058	3 3
46	7.0710678118655	5.6568542494924	3 3
47	7.778174593052	6.3639610306789	3 3
48	8.4852813742386	7.0710678118655	3 3
49	9.1923881554251	7.778174593052	3 3
50	0	8.4852813742386	4 3
51	0.707106781186504	9.1923881554251	4 3
52	1.4142135623731	0	4 4
53	2.1213203435596	0.707106781186504	4 4
54	2.8284271247462	1.4142135623731	4 4
55	3.5355339059327	2.1213203435596	4 4
56	4.2426406871193	2.8284271247462	4 4
57	4.9497474683058	3.5355339059327	4 4
58	5.65685424949241	4.2426406871193	4 4
59	6.3639610306789	4.9497474683058	4 4
60	7.0710678118654	5.65685424949241	4 4
61	7.778174593052	6.3639610306789	4 4
62	8.4852813742385	7.0710678118655	4 4
63	9.1923881554251	7.778174593052	4 4
64	0	8.4852813742386	5 4
65	0.707106781186596	9.1923881554251	5 4
66	1.4142135623731	0	5 5
67	2.1213203435597	0.707106781186596	5 5
68	2.8284271247462	1.4142135623731	5 5
69	3.53553390593279	2.1213203435597	5 5
70	4.2426406871193	2.8284271247462	5 5
71	4.9497474683059	3.53553390593279	5 5
72	5.6568542494924	4.2426406871193	5 5
73	6.363961030679	4.9497474683059	5 5
74	7.0710678118655	5.6568542494924	5 5
75	7.7781745930521	6.363961030679	5 5
76	8.4852813742386	7.0710678118655	5 5
77	9.1923881554252	7.7781745930521	5 5
78	0	8.4852813742386	6 5
79	0.707106781186603	9.1923881554252	6 5
80	1.4142135623731	0	6 6
81	2.1213203435596	0.707106781186603	6 6
82	2.82842712474621	1.4142135623731	6 6
83	3.5355339059327	2.1213203435597	6 6
84	4.24264068711931	2.82842712474621	6 6
85	4.9497474683058	3.5355339059327	6 6
86	5.65685424949241	4.24264068711931	6 6
87	6.3639610306789	4.9497474683058	6 6
88	7.0710678118655	5.65685424949241	6 6
89	7.778174593052	6.3639610306789	6 6
90	8.4852813742386	7.0710678118655	6 6
91	9.19238815542511	7.778174593052	6 6
92	0	8.4852813742386	7 6
93	0.707106781186496	9.19238815542511	7 6
94	1.41421356237311	0	7 7
95	2.1213203435596	0.707106781186496	7 7
96	2.8284271247462	1.41421356237311	7 7
97	3.5355339059327	2.1213203435596	7 7
98	4.24264068711931	2.8284271247462	7 7
99	4.9497474683058	3.5355339059327	7 7
100	5.6568542494924	4.24264068711931	7 7
101	6.36396103067889	4.9497474683058	7 7
102	7.0710678118654	5.6568542494924	7 7
103	7.778174593052	6.36396103067889	7 7
104	8.4852813742385	7.0710678118654	7 7
105	9.19238815542511	7.778174593052	7 7
106	9.8994949366116	8.4852813742385	7 7
107	0	9.19238815542511	8 7
108	0.707106781186496	9.8994949366116	8 7
109	1.41421356237311	0	8 8
110	2.1213203435596	0.707106781186496	8 8
111	2.8284271247462	1.41421356237311	8 8
112	3.5355339059327	2.1213203435596	8 8
113	4.24264068711931	2.8284271247462	8 8
114	4.9497474683058	3.5355339059327	8 8
115	5.6568542494924	4.24264068711931	8 8
116	6.36396103067889	4.9497474683058	8 8
117	7.0710678118655	5.6568542494924	8 8
118	7.778174593052	6.36396103067889	8 8
119	8.4852813742386	7.0710678118655	8 8
120	9.19238815542511	7.778174593052	8 8
121	0	8.4852813742386	9 8
122	0.707106781186596	9.19238815542511	9 8
123	1.41421356237309	0	9 9
124	2.1213203435597	0.707106781186596	9 9
125	2.8284271247462	1.41421356237319	9 9
126	3.53553390593279	2.1213203435597	9 9
127	4.24264068711929	2.8284271247462	9 9
128	4.9497474683059	3.53553390593279	9 9
129	5.6568542494924	4.24264068711929	9 9
130	6.36396103067899	4.9497474683059	9 9
131	7.0710678118655	5.6568542494924	9 9
132	7.7781745930521	6.36396103067899	9 9
133	8.4852813742386	7.0710678118655	9 9
134	9.19238815542519	7.7781745930521	9 9
135	0	8.4852813742385	10 9
136	0.707106781186596	9.19238815542509	10 9
137	1.41421356237309	0	10 10
138	2.12132034355969	0.707106781186596	10 10
139	2.8284271247462	1.41421356237309	10 10
140	3.53553390593279	2.12132034355969	10 10
141	4.24264068711929	2.8284271247462	10 10
142	4.9497474683061	3.53553390593279	10 10
143	5.6568542494921	4.24264068711929	10 10
145	2.82842712474619	0.000000000000000222044604925031	0 0
146	3.53553390593274	0.707106781186548	0 0
147	4.24264068711928	1.4142135623731	0 0
148	4.94974746830583	2.12132034355964	0 0
149	0	2.82842712474619	1 0
150	0.707106781186551	3.53553390593274	1 0
151	1.41421356237309	4.24264068711929	1 0
152	2.12132034355964	4.94974746830583	1 0
153	2.82842712474619	0	1 1
154	3.53553390593274	0.707106781186551	1 1
155	4.24264068711929	1.4142135623731	1 1
156	4.94974746830582	2.12132034355964	1 1
157	5.65685424949242	2.82842712474619	1 1
158	6.36396103067892	3.53553390593274	1 1
159	7.07106781186552	4.24264068711929	1 1
160	7.77817459305202	4.94974746830582	1 1
161	8.48528137423862	5.65685424949242	1 1
162	9.19238815542512	6.36396103067892	1 1
163	0	7.07106781186552	2 1
164	0.707106781186599	7.77817459305202	2 1
165	1.4142135623731	8.48528137423862	2 1
166	2.1213203435597	9.19238815542512	2 1
167	2.8284271247462	0	2 2
168	3.5355339059328	0.707106781186599	2 2
169	4.2426406871193	1.4142135623731	2 2
170	4.9497474683059	2.1213203435597	2 2
171	5.6568542494924	2.8284271247462	2 2
172	6.363961030679	3.5355339059328	2 2
