fill	x	y	clickSelects	group	xmin	xmax	ymin	ymax
#CECECE	0	0	0 0	1	-0.5	0.5	-0.5	0.5
#989898	1	0	1 0	2	0.5	1.5	-0.5	0.5
#EFEFEF	1	1	1 1	3	0.5	1.5	0.5	1.5
#DEDEDE	2	1	2 1	115	1.5	2.5	0.5	1.5
#E8E8E8	2	2	2 2	116	1.5	2.5	1.5	2.5
#D6D6D6	3	2	3 2	229	2.5	3.5	1.5	2.5
#E6E6E6	3	3	3 3	230	2.5	3.5	2.5	3.5
#E9E9E9	4	3	4 3	343	3.5	4.5	2.5	3.5
#DDDDDD	4	4	4 4	344	3.5	4.5	3.5	4.5
#EAEAEA	5	4	5 4	459	4.5	5.5	3.5	4.5
#FCFCFC	5	5	5 5	460	4.5	5.5	4.5	5.5
#FAFAFA	6	5	6 5	576	5.5	6.5	4.5	5.5
#FBFBFB	6	6	6 6	577	5.5	6.5	5.5	6.5
#FDFDFD	7	6	7 6	693	6.5	7.5	5.5	6.5
#FCFCFC	7	7	7 7	694	6.5	7.5	6.5	7.5
#FFFFFF	8	7	8 7	802	7.5	8.5	6.5	7.5
#FEFEFE	8	8	8 8	803	7.5	8.5	7.5	8.5
#FFFFFF	9	8	9 8	833	8.5	9.5	7.5	8.5
#FFFFFF	9	9	9 9	834	8.5	9.5	8.5	9.5
#FFFFFF	10	9	10 9	14	9.5	10.5	8.5	9.5
#FFFFFF	10	10	10 10	6	9.5	10.5	9.5	10.5
#FFFFFF	11	10	11 10	17	10.5	11.5	9.5	10.5
#838383	2	0	2 0	114	1.5	2.5	-0.5	0.5
#E2E2E2	3	1	3 1	228	2.5	3.5	0.5	1.5
#D4D4D4	4	2	4 2	342	3.5	4.5	1.5	2.5
#E4E4E4	5	3	5 3	458	4.5	5.5	2.5	3.5
#FBFBFB	6	4	6 4	575	5.5	6.5	3.5	4.5
#FEFEFE	7	5	7 5	692	6.5	7.5	4.5	5.5
#FFFFFF	8	6	8 6	801	7.5	8.5	5.5	6.5
#FFFFFF	9	7	9 7	832	8.5	9.5	6.5	7.5
#FFFFFF	10	8	10 8	13	9.5	10.5	7.5	8.5
#FFFFFF	11	9	11 9	25	10.5	11.5	8.5	9.5
#FFFFFF	12	10	12 10	28	11.5	12.5	9.5	10.5
#9A9A9A	3	0	3 0	227	2.5	3.5	-0.5	0.5
#DFDFDF	4	1	4 1	341	3.5	4.5	0.5	1.5
#F9F9F9	5	2	5 2	457	4.5	5.5	1.5	2.5
#EDEDED	6	3	6 3	574	5.5	6.5	2.5	3.5
#FAFAFA	7	4	7 4	691	6.5	7.5	3.5	4.5
#FFFFFF	8	5	8 5	800	7.5	8.5	4.5	5.5
#FFFFFF	9	6	9 6	831	8.5	9.5	5.5	6.5
#FFFFFF	10	7	10 7	12	9.5	10.5	6.5	7.5
#FFFFFF	11	8	11 8	24	10.5	11.5	7.5	8.5
#FFFFFF	12	9	12 9	36	11.5	12.5	8.5	9.5
#FFFFFF	13	10	13 10	39	12.5	13.5	9.5	10.5
#959595	4	0	4 0	340	3.5	4.5	-0.5	0.5
#DDDDDD	5	1	5 1	456	4.5	5.5	0.5	1.5
#E2E2E2	6	2	6 2	573	5.5	6.5	1.5	2.5
#FCFCFC	7	3	7 3	690	6.5	7.5	2.5	3.5
#FEFEFE	8	4	8 4	799	7.5	8.5	3.5	4.5
#FFFFFF	9	5	9 5	830	8.5	9.5	4.5	5.5
#FFFFFF	10	6	10 6	11	9.5	10.5	5.5	6.5
#FFFFFF	11	7	11 7	23	10.5	11.5	6.5	7.5
#FFFFFF	12	8	12 8	35	11.5	12.5	7.5	8.5
#FFFFFF	13	9	13 9	47	12.5	13.5	8.5	9.5
#FFFFFF	14	10	14 10	50	13.5	14.5	9.5	10.5
#979797	5	0	5 0	455	4.5	5.5	-0.5	0.5
#F5F5F5	6	1	6 1	572	5.5	6.5	0.5	1.5
#EDEDED	7	2	7 2	689	6.5	7.5	1.5	2.5
#F8F8F8	8	3	8 3	798	7.5	8.5	2.5	3.5
#FFFFFF	9	4	9 4	829	8.5	9.5	3.5	4.5
#FFFFFF	10	5	10 5	10	9.5	10.5	4.5	5.5
#FFFFFF	11	6	11 6	22	10.5	11.5	5.5	6.5
#FFFFFF	12	7	12 7	34	11.5	12.5	6.5	7.5
#FFFFFF	13	8	13 8	46	12.5	13.5	7.5	8.5
#FFFFFF	14	9	14 9	58	13.5	14.5	8.5	9.5
#FFFFFF	15	10	15 10	61	14.5	15.5	9.5	10.5
#787878	6	0	6 0	571	5.5	6.5	-0.5	0.5
#A0A0A0	7	1	7 1	688	6.5	7.5	0.5	1.5
#EFEFEF	8	2	8 2	797	7.5	8.5	1.5	2.5
#FAFAFA	9	3	9 3	828	8.5	9.5	2.5	3.5
#FDFDFD	10	4	10 4	9	9.5	10.5	3.5	4.5
#FEFEFE	11	5	11 5	21	10.5	11.5	4.5	5.5
#FEFEFE	12	6	12 6	33	11.5	12.5	5.5	6.5
#FEFEFE	13	7	13 7	45	12.5	13.5	6.5	7.5
#FEFEFE	14	8	14 8	57	13.5	14.5	7.5	8.5
#FFFFFF	15	9	15 9	69	14.5	15.5	8.5	9.5
#FEFEFE	16	10	16 10	72	15.5	16.5	9.5	10.5
#363636	7	0	7 0	687	6.5	7.5	-0.5	0.5
#DDDDDD	8	1	8 1	796	7.5	8.5	0.5	1.5
#F2F2F2	9	2	9 2	827	8.5	9.5	1.5	2.5
#F5F5F5	10	3	10 3	8	9.5	10.5	2.5	3.5
#F7F7F7	11	4	11 4	20	10.5	11.5	3.5	4.5
#FDFDFD	12	5	12 5	32	11.5	12.5	4.5	5.5
#FDFDFD	13	6	13 6	44	12.5	13.5	5.5	6.5
#FEFEFE	14	7	14 7	56	13.5	14.5	6.5	7.5
#FEFEFE	15	8	15 8	68	14.5	15.5	7.5	8.5
#FEFEFE	16	9	16 9	80	15.5	16.5	8.5	9.5
#FEFEFE	17	10	17 10	83	16.5	17.5	9.5	10.5
#686868	8	0	8 0	795	7.5	8.5	-0.5	0.5
#D2D2D2	9	1	9 1	826	8.5	9.5	0.5	1.5
#EAEAEA	10	2	10 2	7	9.5	10.5	1.5	2.5
#F0F0F0	11	3	11 3	19	10.5	11.5	2.5	3.5
#FDFDFD	12	4	12 4	31	11.5	12.5	3.5	4.5
#FDFDFD	13	5	13 5	43	12.5	13.5	4.5	5.5
#FDFDFD	14	6	14 6	55	13.5	14.5	5.5	6.5
#FEFEFE	15	7	15 7	67	14.5	15.5	6.5	7.5
#FEFEFE	16	8	16 8	79	15.5	16.5	7.5	8.5
#FEFEFE	17	9	17 9	91	16.5	17.5	8.5	9.5
#FFFFFF	18	10	18 10	94	17.5	18.5	9.5	10.5
#A5A5A5	9	0	9 0	825	8.5	9.5	-0.5	0.5
#ECECEC	10	1	10 1	5	9.5	10.5	0.5	1.5
#EDEDED	11	2	11 2	18	10.5	11.5	1.5	2.5
#FAFAFA	12	3	12 3	30	11.5	12.5	2.5	3.5
#FDFDFD	13	4	13 4	42	12.5	13.5	3.5	4.5
